"model","formula","n","predictors","AIC","AICc","delta_AICc","weight_AICc","note"
"intercept_only","mean_gc3 ~ 1",3,0,NA,NA,NA,NA,"skipped_too_few_complete_rows_for_full_predictor_set"
"mass","mean_gc3 ~ mass_preferred",3,1,NA,NA,NA,NA,"skipped_too_few_complete_rows_for_full_predictor_set"
"genome_size","mean_gc3 ~ genome_size",3,1,NA,NA,NA,NA,"skipped_too_few_complete_rows_for_full_predictor_set"
"ctmax","mean_gc3 ~ ctmax",3,1,NA,NA,NA,NA,"skipped_too_few_complete_rows_for_full_predictor_set"
"ctmin","mean_gc3 ~ ctmin",3,1,NA,NA,NA,NA,"skipped_too_few_complete_rows_for_full_predictor_set"
"mass_genome_size","mean_gc3 ~ mass_preferred + genome_size",3,2,NA,NA,NA,NA,"skipped_too_few_complete_rows_for_full_predictor_set"
"mass_ctmax","mean_gc3 ~ mass_preferred + ctmax",3,2,NA,NA,NA,NA,"skipped_too_few_complete_rows_for_full_predictor_set"
"mass_ctmin","mean_gc3 ~ mass_preferred + ctmin",3,2,NA,NA,NA,NA,"skipped_too_few_complete_rows_for_full_predictor_set"
"genome_size_ctmax","mean_gc3 ~ genome_size + ctmax",3,2,NA,NA,NA,NA,"skipped_too_few_complete_rows_for_full_predictor_set"
"genome_size_ctmin","mean_gc3 ~ genome_size + ctmin",3,2,NA,NA,NA,NA,"skipped_too_few_complete_rows_for_full_predictor_set"
"ctmax_ctmin","mean_gc3 ~ ctmax + ctmin",3,2,NA,NA,NA,NA,"skipped_too_few_complete_rows_for_full_predictor_set"
"full_additive","mean_gc3 ~ genome_size + ctmax + mass_preferred + ctmin",3,4,NA,NA,NA,NA,"skipped_too_few_complete_rows_for_full_predictor_set"
