species_name_audit_pk	species_pk	source_dataset	source_species_name	species_normalized	match_status
1		ji	phrynocephalus_guinanensis	phrynocephalus_guinanensis	normalized_no_species_lookup_provided
2		meiri	Sphaerodactylus ariasae	sphaerodactylus_ariasae	normalized_no_species_lookup_provided
3		meiri	Sphaerodactylus elasmorhynchus	sphaerodactylus_elasmorhynchus	normalized_no_species_lookup_provided
4		meiri	Sphaerodactylus parthenopion	sphaerodactylus_parthenopion	normalized_no_species_lookup_provided
5		meiri	Anilios insperatus	anilios_insperatus	normalized_no_species_lookup_provided
6		meiri	Brookesia tedi	brookesia_tedi	normalized_no_species_lookup_provided
7		meiri	Panaspis wilsoni	panaspis_wilsoni	normalized_no_species_lookup_provided
8		meiri	Paracontias fasika	paracontias_fasika	normalized_no_species_lookup_provided
9		meiri	Scincella macrotis	scincella_macrotis	normalized_no_species_lookup_provided
10		meiri	Lepidoblepharis montecanoensis	lepidoblepharis_montecanoensis	normalized_no_species_lookup_provided
11		meiri	Pseudogonatodes barbouri	pseudogonatodes_barbouri	normalized_no_species_lookup_provided
12		meiri	Sphaerodactylus nycteropus	sphaerodactylus_nycteropus	normalized_no_species_lookup_provided
13		meiri	Sphaerodactylus omoglaux	sphaerodactylus_omoglaux	normalized_no_species_lookup_provided
14		meiri	Sphaerodactylus schwartzi	sphaerodactylus_schwartzi	normalized_no_species_lookup_provided
15		meiri	Amerotyphlops yonenagae	amerotyphlops_yonenagae	normalized_no_species_lookup_provided
16		meiri	Indotyphlops veddae	indotyphlops_veddae	normalized_no_species_lookup_provided
17		meiri	Amphisbaena tragorrhectes	amphisbaena_tragorrhectes	normalized_no_species_lookup_provided
18		meiri	Cynisca degrysi	cynisca_degrysi	normalized_no_species_lookup_provided
19		meiri	Brookesia micra	brookesia_micra	normalized_no_species_lookup_provided
20		meiri	Lygodactylus broadleyi	lygodactylus_broadleyi	normalized_no_species_lookup_provided
21		meiri	Lerista separanda	lerista_separanda	normalized_no_species_lookup_provided
22		meiri	Paracontias milloti	paracontias_milloti	normalized_no_species_lookup_provided
23		meiri	Coleodactylus natalensis	coleodactylus_natalensis	normalized_no_species_lookup_provided
24		meiri	Lepidoblepharis miyatai	lepidoblepharis_miyatai	normalized_no_species_lookup_provided
25		meiri	Pristurus masirahensis	pristurus_masirahensis	normalized_no_species_lookup_provided
26		meiri	Pseudogonatodes gasconi	pseudogonatodes_gasconi	normalized_no_species_lookup_provided
27		meiri	Sphaerodactylus cryphius	sphaerodactylus_cryphius	normalized_no_species_lookup_provided
28		meiri	Sphaerodactylus parvus	sphaerodactylus_parvus	normalized_no_species_lookup_provided
29		meiri	Sphaerodactylus perissodactylius	sphaerodactylus_perissodactylius	normalized_no_species_lookup_provided
30		meiri	Sphaerodactylus plummeri	sphaerodactylus_plummeri	normalized_no_species_lookup_provided
31		meiri	Sphaerodactylus williamsi	sphaerodactylus_williamsi	normalized_no_species_lookup_provided
32		meiri	Pseudorabdion sirambense	pseudorabdion_sirambense	normalized_no_species_lookup_provided
33		meiri	Antillotyphlops annae	antillotyphlops_annae	normalized_no_species_lookup_provided
34		meiri	Indotyphlops malcolmi	indotyphlops_malcolmi	normalized_no_species_lookup_provided
35		meiri	Indotyphlops violaceus	indotyphlops_violaceus	normalized_no_species_lookup_provided
36		meiri	Brookesia confidens	brookesia_confidens	normalized_no_species_lookup_provided
37		meiri	Brookesia dentata	brookesia_dentata	normalized_no_species_lookup_provided
38		meiri	Brookesia tuberculata	brookesia_tuberculata	normalized_no_species_lookup_provided
39		meiri	Crenadactylus pilbarensis	crenadactylus_pilbarensis	normalized_no_species_lookup_provided
40		meiri	Crenadactylus tuberculatus	crenadactylus_tuberculatus	normalized_no_species_lookup_provided
41		meiri	Cnemaspis kandambyi	cnemaspis_kandambyi	normalized_no_species_lookup_provided
42		meiri	Cnemaspis manoae	cnemaspis_manoae	normalized_no_species_lookup_provided
43		meiri	Ebenavia maintimainty	ebenavia_maintimainty	normalized_no_species_lookup_provided
44		meiri	Lygodactylus roavolana	lygodactylus_roavolana	normalized_no_species_lookup_provided
45		meiri	Microgecko laki	microgecko_laki	normalized_no_species_lookup_provided
46		meiri	Tropiocolotes confusus	tropiocolotes_confusus	normalized_no_species_lookup_provided
47		meiri	Gymnophthalmus cryptus	gymnophthalmus_cryptus	normalized_no_species_lookup_provided
48		meiri	Lerista ingrami	lerista_ingrami	normalized_no_species_lookup_provided
49		meiri	Lerista talpina	lerista_talpina	normalized_no_species_lookup_provided
50		meiri	Lygisaurus abscondita	lygisaurus_abscondita	normalized_no_species_lookup_provided
51		meiri	Menetia alanae	menetia_alanae	normalized_no_species_lookup_provided
52		meiri	Panaspis tancredi	panaspis_tancredi	normalized_no_species_lookup_provided
53		meiri	Pygmaeascincus koshlandae	pygmaeascincus_koshlandae	normalized_no_species_lookup_provided
54		meiri	Pygmaeascincus sadlieri	pygmaeascincus_sadlieri	normalized_no_species_lookup_provided
55		meiri	Pygmaeascincus timlowi	pygmaeascincus_timlowi	normalized_no_species_lookup_provided
56		meiri	Sphenomorphus grandisonae	sphenomorphus_grandisonae	normalized_no_species_lookup_provided
57		meiri	Sphenomorphus tetradactylus	sphenomorphus_tetradactylus	normalized_no_species_lookup_provided
58		meiri	Tytthoscincus perhentianensis	tytthoscincus_perhentianensis	normalized_no_species_lookup_provided
59		meiri	Lepidoblepharis microlepis	lepidoblepharis_microlepis	normalized_no_species_lookup_provided
60		meiri	Lepidoblepharis rufigularis	lepidoblepharis_rufigularis	normalized_no_species_lookup_provided
61		meiri	Sphaerodactylus cricoderus	sphaerodactylus_cricoderus	normalized_no_species_lookup_provided
62		meiri	Sphaerodactylus epiurus	sphaerodactylus_epiurus	normalized_no_species_lookup_provided
